HPO	Associated Genes
Generalized-onset seizure	ABCC8,MPLKIP,TMX2,NEU1,PIK3CD,TRNW,PTCHD1,EPM2A,ARHGEF6,SCN1A,SMARCA2,CSTB,TBC1D24,GTF2E2,SLC45A1,IL1RAPL1,ST3GAL3,NUS1,SYP,CNTN2,ASPA,PSAP,ELOVL4,YEATS2,INS,USP27X,FRMPD4,CNKSR2,SLC9A7,PRRT2,ALDH7A1,CXORF56,SLC35A3,TRAPPC9,FTL,XK,ARX,SDHA,FTSJ1,PDX1,ATP6,LMAN2L,SMS,SARS1,DOCK7,HNMT,TRNF,TRNS1,KNSTRN,TRNH,PLAA,CACNB4,TARS1,SLC12A5,ADRA2B,CHD2,USP9X,PRICKLE1,OSTM1,GDI1,GABRB3,ZNF81,ATAD3A,IQSEC1,MFSD8,PAFAH1B1,MED12,SLC25A15,TECR,DMXL2,ATP1A1,BTD,CC2D1A,SLC25A22,PGAP1,CILK1,GNAO1,MBOAT7,AP2M1,DNM1L,SON,CARS2,ND6,MED25,TRNP,GABRG2,FMN2,SCARB2,DNM1,CRBN,KCNQ3,ACSL4,GRIK2,C12ORF4,ALDH5A1,GATAD2B,ND5,PLAGL1,DLG3,ALMS1,NSUN2,SCN2A,ANO10,DCX,TK2,TANGO2,ASAH1,EDC3,KCTD7,NGLY1,ZNF711,RELN,JRK,MECP2,SRPX2,ND3,METTL23,TUSC3,MTOR,SCN1B,EFHC1,MID2,RNR1,MTHFR,EHMT1,SMPD1,ADGRG1,TRIT1,PCYT2,BUB1B,STAT3,ZNF41,PNKP,HYMAI,NUBPL,SCN9A,CLCN2,ND1,RNF113A,BRAT1,TRNL1,NDUFA1,SETD2,CACNA1H,AP3D1,KCNT2,LAMA2,TRNQ,LINS1,KCNJ11,IQSEC2,COG2,PIGP,NEXMIF,ND4,SAMD12,TRNS2,TSPAN7,PTRH2,GAMT,TNIK,MAN1B1,MED13,KDM5B,PIGQ,PHGDH,ATXN10,DMD,PIGM,NFKB2,HCN1,NDST1,SLC9A6,KCNA1,WDR26,GRN,KCNMA1,RAB39B,TRNI,SYNGAP1,GCK,DPM3,RORB,ZC3H14,ALG13,SIK1,WAC,DPM2,GBA,SZT2,B3GALNT2,GTF2H5,TBCD,ERCC2,CAMK2A,OPHN1,SLC2A1,GABRA5,GABBR2,CPLX1,RPL10,CRADD,GRIN2A,RSRC1,PLCB1,GLB1,IER3IP1,GLUD1,SCN8A,AFG3L2,SDHD,FGFR3,WASHC4,EZR,GABRA1,CLCN4,RPS6KA3,DHDDS,ADGRV1,CEP85L,SEC31A,PCDH12,LNPK,MARCHF6,TRNV,PRDM8,TRNK,STX1B,AIMP1,GOSR2,TRIM8,PIGC,ZEB2,ARHGEF9,APC2,GPHN,CDKL5,CTNND2,DCPS,DYRK1A,PIGA,KCNQ2,PIGT,CNTNAP2,HCFC1,MED23,SPATA5,NEUROD2,CASK,AGTR2,PAK3,NSD1,DHFR,NDE1,CLIP1,CUX2,NHLRC1,GALC,NTNG1,MAPK10,FBXO31,HACE1,SDHB,SDHAF1,ACSF3,EXTL3,ERCC3,RNU4ATAC,PCDH19,ND2,FRRS1L,UPF3B,PRSS12,GABRD,SLC6A1,STXBP1
Genetic anticipation	SPAST,TERT,ALDH18A1,ATXN10,ATXN1,ATXN7,ATXN3,ATXN2,ATN1,CACNA1A
Genetic anticipation with paternal anticipation bias	ATXN1,ATXN7
Genital blistering	MMP1,COL7A1
Genital edema	PIEZO1
Genital hernia	COL5A1,SMAD3,COL5A2,RPS6KA3,COL3A1,COL1A1
Genital neoplasm	TP53,H19-ICR,PRKN,VHL,KCNQ1,GREM1,TXNRD2,DHH,MSH6,RPS20,GATA4,RELA,MRAP,SOX9,RAD51,WWOX,SRC,PRKAR1A,RAD50,HNF1B,STK11,POLE,KLLN,NBN,STAR,BAX,EWSR1,MSH2,WRN,SDHC,MC2R,BUB3,RNASEL,MAP3K1,PTEN,KLF6,ZFPM2,KCNQ1OT1,BCL10,SLC6A17,CDH1,BRCA1,HNF4A,CCND1,AR,DICER1,SMAD4,MNX1,PMS2,NRAS,BMPR1A,RAD54B,EPHB2,BRIP1,SEC23B,DCC,PALLD,DMPK,TRIP13,RAD51D,STS,MLH1,KEAP1,STAG3,BUB1B,FLCN,C11ORF95,TLR2,PTPRJ,SETD2,PTPN12,PALB2,DHX37,DOCK8,RNF43,CDKN2A,NR0B1,CTNNB1,MLH3,FH,PIK3CA,BRCA2,NAB2,PLA2G2A,PTCH1,AXIN2,AURKA,PAX6,MCC,FLI1,NTHL1,FGFR2,RAD51C,VAMP7,DMRT3,FAN1,KRAS,MXI1,CDKN1B,CREBBP,USF3,EP300,NNT,PTCH2,MRE11,CHEK2,CDC73,SDHD,FGFR3,MAD1L1,KIT,ODC1,MSH3,PDGFRL,APC,ZFHX3,IDH2,WT1,CXCR4,SUFU,DLC1,PMS1,BUB1,SEMA4A,APC2,TGFBR2,AKT1,OPCML,NSD1,CEP57,SETBP1,BARD1,MDM2,SRY,STAT6,IDH1,EPCAM,SDHB,IGF2,LMNA,POLD1,CDKN1C,WNT10A,NR5A1
Genital tract atresia	FGFR2,BBS1,KIF14,ITGA8,FRAS1,WNT3,ARL6,GATA3,POR,RSPO2,WT1,FREM2,CCDC28B,DYNC2LI1,GRIP1,MKKS
Genital ulcers	TNFAIP3,DCLRE1C
Genu recurvatum	SKI,AP4E1,AP4M1,KRAS,CDT1,TRIP11,SH3PXD2B,AP4B1,XYLT1,FBN1,PTEN,HRAS,CTDP1,GRIA3,SLC6A9,ANO5,COL1A2,NRAS,AP4S1,B4GALT7,MCOLN1,FGD1,WASF1,CANT1,COMP
Genu valgum	BAZ1B,ARSB,COL2A1,GNPTG,GLI1,NKX3-2,MKRN3-AS1,IPW,MAGEL2,COL9A1,SNORD115-1,HERC2,NF1,KLHL41,COL9A3,CSGALNACT1,RFC2,EIF2AK3,CA2,TNFSF11,CBS,COL9A2,EVC2,SPART,DYM,SERPINH1,RAB33B,COMP,ELN,VDR,VPS13B,CYP19A1,CTC1,LMOD3,NEPRO,MAP2K1,IFT172,MATN3,IARS2,MKRN3,NDUFAF6,COL11A1,TGFB1,NDN,CHST3,IFIH1,NOTCH2,CLIP2,HBB,HSPG2,SLC10A7,LIMK1,ORC1,RUNX2,EVC,TONSL,MEGF8,RAB23,IFT57,MAN2B1,PEPD,SNORD116-1,B3GAT3,SFRP4,CTNS,ENPP1,SKI,COG5,MMP13,RSPRY1,MCTP2,FBN1,BPNT2,GALNS,GTF2I,UGP2,ATRX,HS6ST1,ZBTB20,GUSB,FLNA,PUS3,OCRL,GTF2IRD1,TRPS1,NPAP1,BCOR,TPM2,IDUA,ATP7A,GAN,SLC26A2,CENPT,DYNC2LI1,LONP1,KRAS,KIF7,GLB1,LIFR,MAP2K2,PWAR1,NEB,LOXL3,ACAN,EXT1,FN1,COL1A2,TRPV4,ZEB2,CFL2,BRAF,EXT2,B3GALT6,SHOX,NSD1,KAT6A,TUBB3,PWRN1,ACTA1,TBL2,KIF22,SNRPN,CLCN7
Genu varum	VDR,MMP13,TCTN3,TRIP11,XYLT1,COL2A1,HPGD,NKX3-2,LMOD3,CCN6,FGFR3,UFSP2,MATN3,COL9A1,RMRP,NEB,DMP1,EFL1,CYP2R1,ACAN,FN1,COL10A1,KLHL41,PHEX,DDRGK1,COL9A3,ORC1,CFL2,TONSL,CYP27B1,SHOX,C12ORF57,RAB23,COL9A2,RPL13,KAT6A,RBM8A,ACTA1,DYM,KIF22,SLCO2A1,ORC6,IHH,CANT1,COMP,TPM2,ENPP1
Geographic atrophy	APOE,CFHR1,IMPDH1,HMCN1,CFHR3
Geographic tongue	IL36RN
Germ cell neoplasia	H19-ICR,TP53,PRKN,DMRT3,KCNQ1,MAP3K1,SETD2,ZFPM2,CDKN1C,CHEK2,FGFR3,DHH,KCNQ1OT1,DHX37,BCL10,KIT,CDH1,GATA4,RNF43,SOX9,MSH3,NR0B1,CDKN2A,WWOX,CTNNB1,WT1,AR,DICER1,MNX1,APC2,AKT1,PIK3CA,OPCML,STK11,NSD1,SETBP1,MDM2,SRY,PAX6,STS,KEAP1,IGF2,NR5A1,FGFR2,VAMP7
Germinoma	H19-ICR,CDH1,PRKN,STS,AKT1,MAP3K1,PIK3CA,KEAP1,IGF2,OPCML,CTNNB1,DICER1,FGFR2
Giant cell hepatitis	HSD3B7,VPS33B,VIPAS39,AMACR
Giant cell tumor of bone	PORCN
Giant melanosomes in melanocytes	LYST,GPR143
Giant platelets	ITGB3,ABCG8,LBR,SLC35A1,CD36,GP1BB,MYH9,ITGA2B,GP9,GP1BA
Giant somatosensory evoked potentials	NHLRC1,STARD7,EPM2A,SEMA6B,SAMD12,MARCHF6
Gingival bleeding	F13B,TERC,MYD88,F5,F10,F7,TBL1XR1,RARA,STAT5B,LMAN1,WAS,FCGR2C,NABP1,IRF2BP2,SCARB2,KIF23,C1S,FGG,PML,NUMA1,GP1BA,MPL,PRKAR1A,ZBTB16,TET2,IFNG,BLOC1S3,F13A1,SERPINF2,F8,PRF1,CAT,JAK2,FGA,ELMO2,BCOR,ITGB3,LYST,NPM1,FIP1L1,F2,TERT,WIPF1,IL18BP,GP1BB,GBA,C1R,SBDS,STAT3,ITGA2B,GP9,HPS1,FGB,ADAMTS2,MCFD2
Gingival cleft	SMAD4,KIF7,HYLS1
Gingival fibromatosis	NOTCH3,TSC2,CDKN1B,FAM20C,KCNN3,SOS1,ANTXR2,CDKN2B,TSC1,IFNG,PDGFRB,ATP6V1B2,REST,DHCR24,KCNH1,MEN1,ELMO2,CDKN2C,CDKN1A,ABCA5
Gingival hyperkeratosis	ADAMTS2
Gingival overgrowth	BAZ1B,NEU1,LBR,TBC1D24,RARA,DVL1,NUMA1,PRKAR1A,RFC2,FAM20C,MMP2,GNAQ,SLC17A5,ABCA5,NPM1,INSR,SOS1,REST,EMC1,USP9X,KCNH1,GNPTAB,PLG,TBCK,C1R,OSTM1,RALGAPA1,ADAMTS2,ELN,SH3PXD2B,PRMT7,VPS13B,KIF1A,CCBE1,FAT4,RMRP,ADAMTS3,IRF2BP2,C1S,CLIP2,PLAGL1,FAM20A,LIMK1,DVL3,DDR2,WNT5A,MAN2B1,MGAT2,FIP1L1,FGF3,CNTNAP1,STAT3,HYMAI,PIGS,ATP6V1B2,ROR2,KCNK4,COL3A1,TBL1XR1,GTF2I,ABCC9,MYSM1,STAT5B,MAP1B,GUSB,PIGN,MMP14,SLC29A3,KCNN3,ZBTB16,ANTXR2,GTF2IRD1,KCNMA1,KCNJ6,BCOR,IDUA,DHCR7,FGFR2,AGA,RIN2,FZD2,CD96,GLB1,IER3IP1,SC5D,NABP1,NXN,PML,ZEB2,AIMP2,ZNHIT3,PIGA,TBL2,TMCO1,EXTL3,NFIX
Gingival recession	FIG4,VAC14,C1R,CTSC,DSP
Gingivitis	ELANE,NCF2,TCIRG1,COL3A1,NCF1,SAMD9,CYBB,IRF9,ITGB2,FERMT1,ALMS1,NCF4,SRP54,GFI1,OCRL,SLC6A19,B4GALT7,CTSC,CAT,LYST,CYBA,KRT6A,CYBC1,CD40LG,STAT3,PLG
Glabellar hemangioma	SLC26A2,TBX2,RRAS2
Glabellar reflex	GM2A,GLRB,ERLIN2
Glandular hypospadias	MTM1,MYMK,HOXA13,MAMLD1,MKKS
Glaucoma	EXOSC2,FOXE3,KIF11,BAZ1B,HLA-DRB1,TEK,RPL11,ARL6,CRYBB3,RRM2B,ARSB,ASB10,LMX1B,COL2A1,PDE6G,COL18A1,CCDC22,PTPN22,CENPJ,PRSS56,BBS1,ATOH7,NOD2,ESCO2,PROM1,RNASEH2C,GRHL2,MERTK,GUCA1B,RBBP8,ADA2,NF1,VCAN,MASP1,PLOD1,RFC2,SEC24C,IDH3B,DDX58,TOPORS,GNAQ,HGSNAT,COMT,C8ORF37,PRPF3,CBS,PRPF4,POMK,CDH11,SIX6,RPS17,PEX12,OPTN,RP2,SLC25A4,IFT88,LARGE1,RPS19,UFD1,LRAT,MAFA,ZNF469,LTBP2,ZEB1,TKFC,B4GAT1,AGK,CRYAA,FREM2,TWIST1,AGBL5,BUB3,COL4A1,GSN,ELN,CRYBA2,B3GLCT,MYMK,IMPG2,GJB3,CNGB1,SH3PXD2B,NRL,RPS10,XYLT1,WASHC5,OFD1,CDHR1,PYCR1,PTEN,CENPE,PEX10,RGR,CLRN1,GJA1,PRCD,CCBE1,EBP,POMT1,GLIS3,IFT172,COX7B,FAT4,COL11A1,TGFB1,CHST3,RS1,IFIH1,ADAMTS3,PEX19,TTC37,GJB4,TTC8,CLIP2,IDH3A,DCN,USH2A,BDNF,RBP3,RP9,MAG,ARVCF,LIMK1,PDE6A,AHI1,RPL26,YARS2,PIK3R1,RPS29,YAP1,MAF,SPATA7,PRPF31,ADAMTSL1,OVOL2,NR2E3,PEX3,TRIP13,RP1L1,GATA1,SETD5,CLN3,B3GAT3,IMPDH1,RPS28,FUT8,TREX1,BUB1B,HDAC8,ZSWIM6,ACVR1,ROM1,CANT1,PRPF6,CNGA1,RPL5,RREB1,NTF4,SBF2,ADAR,HCCS,RNASEH2A,BBS2,HIRA,DSE,RDH12,PIK3C2A,ANKLE2,FBN1,GZF1,RPL18,ANTXR1,SKIV2L,SLC7A14,RPL27,RPE65,COL3A1,RPS24,POMGNT1,CHRDL1,GTF2I,RP1,SNRNP200,PEX2,FAS,CRPPA,ABCA4,RECQL4,CA4,BEST1,RASA1,RPL31,RHOA,FLNA,ATR,NDUFB11,CRX,PXDN,PLK4,IFT140,CRB1,TBX1,CISD2,OCRL,NLRP3,GTF2IRD1,KLHL7,RHO,SAG,PEX16,MAB21L1,BTNL2,PEX5,SAMHD1,RXYLT1,NHS,FKRP,PTCH1,REEP6,BCOR,FSCN2,PAX6,IDUA,POMT2,RPS7,RPS27,DHCR7,LOXL1,KIAA1549,GP1BB,TSR2,RPL35,PITX2,TRIM44,ZMIZ1,RNASEH2B,ARL2BP,B3GALNT2,PRPH2,TIMP3,RPS26,ADAMTS17,CCDC28B,FGFR2,NDP,NCAPG2,EYS,FAM50A,CREBBP,ZNF408,CHST14,RPL35A,KIZ,EP300,CYP1B1,NEK2,PTCH2,NAA10,TRAIP,MYOC,PCNT,FAM161A,PEX13,DAG1,DHDDS,SCAPER,FOXC1,WFS1,POMGNT2,MFRP,SMC1A,TMEM98,WDR36,PCARE,RPGR,LRP5,SMC3,MAK,WT1,TBC1D20,DHX38,PEX11B,TULP1,COL8A2,SUFU,CERKL,PEX1,SEMA4A,BUB1,RPL15,RAD21,TUB,AKT1,PRDM5,ARHGEF18,AHR,STUB1,PDE6B,ZNF513,RLBP1,PEX26,KMT2A,ARL3,ATRIP,GMPPB,PEX6,CEP57,SLC4A4,KDSR,PRPF8,ADAMTS10,SRY,CEP152,TBL2,VSX1,PUS1,RNU4ATAC,RPS15A,NIPBL,PEX14,FKTN,JMJD1C
Glaucomatous visual field defect	MYOC,CYP1B1,ASB10
Glenoid fossa hypoplasia	LMX1B,SCARF2
Glioblastoma multiforme	TP53,FAN1,KRAS,CHEK2,RPS20,MSH6,CDKN2A,APC,PMS2,MLH3,BMPR1A,PMS1,SEMA4A,TGFBR2,PIK3CA,BRCA2,ERBB2,MDM2,MSH2,EPCAM,IDH1,MLH1
Glioma	TP53,TSC2,FAN1,CDKN1B,KRAS,CDKN2B,C11ORF95,SETD2,NF2,CHEK2,RPS20,MSH6,SMO,RELA,CDKN2A,MSH3,LRP5,APC,IDH2,GLI3,NF1,PMS2,CDKN1A,MLH3,BMPR1A,PMS1,SEMA4A,APC2,TGFBR2,TSC1,IFNG,PIK3CA,BRCA2,CDKN2C,NSD1,NBN,POT1,ERBB2,SETBP1,MDM2,MSH2,IDH1,EPCAM,MLH1,MEN1
Gliosis	AP4M1,PRKN,GDAP2,ZNF335,TYROBP,SURF1,ETFA,KDM3B,ETFB,EIF2B4,ARX,SDHA,YY1,NARS2,RANBP2,ATP6,LRPPRC,LRRK2,KCNT1,MAPT,L2HGDH,GIGYF2,PLA2G6,DNAJC13,PAX2,LMNB1,SQSTM1,MOCS2,CHCHD10,SNCAIP,GLUD2,VPS35,COX10,FARS2,PMPCA,SCO2,NGLY1,NDUFS2,HSD17B4,ADH1C,EIF4G1,MAN2B1,NAXD,ATXN3,ADAR,NR4A2,BRAT1,C9ORF72,ETFDH,NUP62,ATP6V1A,NDUFB8,TLR3,CSF1R,THOC2,EIF2B5,PSEN1,GRN,TSEN54,ATXN8OS,EIF2B1,GBA,COX15,FUS,NDUFAF3,TBCD,VCP,EIF2B3,AVP,MOCS1,BCS1L,UBQLN2,FBXO7,TBK1,SNCA,TBP,ERCC6,TFG,VRK1,DYRK1A,TARDBP,PIGA,ATXN2,PRNP,POLG,HTT,EIF2B2,SERPINI1
Global brain atrophy	SCN9A,RNF113A,PLA2G6,C9ORF72,PANK2,SCN1A,TBK1,SQSTM1,L2HGDH,ALG9,TXN2,SURF1,GFM1,PNPO,CYB5A,PSAP,GABRA1,SON,CHCHD10,NDUFB8,GABRG2,CYB5R3,PUF60,ST3GAL5,TANGO2,SCN2A,AIMP1,TARDBP,SCO2,TIMM8A,RAB3GAP2,PIGT,TDP1,SPATA5,PRNP,PYCR2,NDUFS2,ACTL6B,WDR81,SCN1B,SMG9,ALG13,PCDH19,TBCK,UNC80,FUS,NDUFAF3,VCP,STXBP1
