Symbol	Full Name	Summary
NUDT4	nudix hydrolase 4 	The protein encoded by this gene regulates the turnover of diphosphoinositol polyphosphates. The turnover of these high-energy diphosphoinositol polyphosphates represents a molecular switching activity with important regulatory consequences. Molecular switching by diphosphoinositol polyphosphates may contribute to regulating intracellular trafficking. Several alternatively spliced transcript variants have been described, but the full-length nature of some variants has not been determined. Isoforms DIPP2alpha and DIPP2beta are distinguishable from each other solely by DIPP2beta possessing one additional amino acid due to intron boundary skidding in alternate splicing. [provided by RefSeq, Jul 2008].
CCDC8	coiled-coil domain containing 8 	This gene encodes a coiled-coil domain-containing protein. The encoded protein functions as a cofactor required for p53-mediated apoptosis following DNA damage, and may also play a role in growth through interactions with the cytoskeletal adaptor protein obscurin-like 1. Mutations in this gene are a cause of 3M syndrome-3 (3M3). [provided by RefSeq, Dec 2011].
PUS1	pseudouridine synthase 1 	This gene encodes a pseudouridine synthase that converts uridine to pseudouridine once it has been incorporated into an RNA molecule. The encoded enzyme may play an essential role in tRNA function and in stabilizing the secondary and tertiary structure of many RNAs. A mutation in this gene has been linked to mitochondrial myopathy and sideroblastic anemia. Alternate splicing results in multiple transcript variants.[provided by RefSeq, Sep 2009].
THAP1	THAP domain containing 1 	The protein encoded by this gene contains a THAP domain, a conserved DNA-binding domain. This protein colocalizes with the apoptosis response protein PAWR/PAR-4 in promyelocytic leukemia (PML) nuclear bodies, and functions as a proapoptotic factor that links PAWR to PML nuclear bodies. Alternatively spliced transcript variants encoding distinct isoforms have been observed. [provided by RefSeq, Jul 2008].
CTNND1	catenin delta 1 	This gene encodes a member of the Armadillo protein family, which function in adhesion between cells and signal transduction. Multiple translation initiation codons and alternative splicing result in many different isoforms being translated. Not all of the full-length natures of the described transcript variants have been determined. Read-through transcription also exists between this gene and the neighboring upstream thioredoxin-related transmembrane protein 2 (TMX2) gene. [provided by RefSeq, Dec 2010].
LHX4	LIM homeobox 4 	This gene encodes a member of a large protein family which contains the LIM domain, a unique cysteine-rich zinc-binding domain. The encoded protein is a transcription factor involved in the control of differentiation and development of the pituitary gland. Mutations in this gene cause combined pituitary hormone deficiency 4. [provided by RefSeq, Dec 2010].
SPATA7	spermatogenesis associated 7 	This gene, originally isolated from testis, is also expressed in retina. Mutations in this gene are associated with Leber congenital amaurosis and juvenile retinitis pigmentosa. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2010].
RNF216	ring finger protein 216 	This gene encodes a cytoplasmic protein which specifically colocalizes and interacts with the serine/threonine protein kinase, receptor-interacting protein (RIP). Zinc finger domains of the encoded protein are required for its interaction with RIP and for inhibition of TNF- and IL1-induced NF-kappa B activation pathways. The encoded protein may also function as an E3 ubiquitin-protein ligase which accepts ubiquitin from E2 ubiquitin-conjugating enzymes and transfers it to substrates. Several alternatively spliced transcript variants have been described for this locus but the full-length natures of only some are known. [provided by RefSeq, Jul 2008].
CCDC127	coiled-coil domain containing 127 	
CHD6	chromodomain helicase DNA binding protein 6 	This gene encodes a member of the SNF2/RAD54 helicase protein family. The encoded protein contains two chromodomains, a helicase domain, and an ATPase domain. Several multi-subunit protein complexes remodel chromatin to allow patterns of cell type-specific gene expression, and the encoded protein is thought to be a core member of one or more of these chromatin remodeling complexes. The encoded protein may function as a transcriptional repressor and is involved in the cellular repression of influenza virus replication. [provided by RefSeq, Jul 2013].
GUCA1B	guanylate cyclase activator 1B 	The protein encoded by this gene is a calcium-binding protein that activates photoreceptor guanylate cyclases. This gene may have arisen due to a gene duplication event since there is a highly similar gene clustered with it on chromosome 6. Mutations in this gene can cause a form of retinitis pigmentosa. [provided by RefSeq, Nov 2009].
DTHD1	death domain containing 1 	This gene encodes a protein which contains a death domain. Death domain-containing proteins function in signaling pathways and formation of signaling complexes, as well as the apoptosis pathway. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2012]. COMPLETENESS: complete on the 3' end.
CYB5A	cytochrome b5 type A 	The protein encoded by this gene is a membrane-bound cytochrome that reduces ferric hemoglobin (methemoglobin) to ferrous hemoglobin, which is required for stearyl-CoA-desaturase activity. Defects in this gene are a cause of type IV hereditary methemoglobinemia. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2010].
LILRA2	leukocyte immunoglobulin like receptor A2 	This gene encodes a member of a family of immunoreceptors that are expressed predominantly on monocytes and B cells, and at lower levels on dendritic cells and natural killer cells. The encoded protein is an activating receptor that inhibits dendritic cell differentiation and antigen presentation and suppresses innate immune response. Alternatively spliced transcript variants encoding different isoforms have been found. This gene is located in a cluster of related genes on chromosome 19 and there is a pseudogene for this gene on chromosome 3. [provided by RefSeq, Mar 2014].
MYO16	myosin XVI 	This gene encodes an unconventional myosin protein. The encoded protein has been proposed to act as a serine/threonine phosphatase-1 targeting or regulatory subunit. Studies in a rat cell line suggest that this protein may regulate cell cycle progression. A variant within this gene may be associated with susceptibility to schizophrenia and elevated expression of this gene has been observed in the frontal cortex of human schizophrenia patients. [provided by RefSeq, Mar 2017].
